STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
서연,0.081,0.32,0.185,-0.307,1.673,4.316
태평양물산,-0.005,-0.046,-0.049,-0.289,-0.529,-0.845
사조동아원,-0.021,0.048,0.151,-0.459,-0.298,0.7
대덕,-0.003,-0.025,-0.023,-0.201,-0.325,-0.712
대덕1우,0.008,-0.031,-0.068,0.138,-0.161,-0.713
대동전자,-0.005,-0.03,0.115,-0.218,-0.824,-0.809
이건산업,-0.017,-0.113,-0.128,-0.023,-0.574,-0.787
NI스틸,0.056,0.091,0.199,-0.158,-0.7,-0.66
원풍물산,0.021,-0.049,-0.069,-0.524,-0.674,-0.749
남선알미늄,0.017,0.004,-0.03,-0.412,-0.245,-0.651
남선알미우,0.008,0.016,-0.069,-0.3,-0.066,-0.544
원풍,0.031,0.005,0.022,1.342,1.759,1.351
문배철강,0.013,0.066,0.074,-0.739,-0.622,-0.626
부스타,0.032,0.059,0.096,-0.591,-0.39,-0.442
서흥,-0.004,-0.034,-0.015,0.019,-0.335,-0.477
일정실업,0.027,0.013,-0.125,-0.282,-0.399,-0.358
메리츠증권,0.033,0.063,0.079,-0.074,0.263,-0.069
윌비스,-0.026,-0.005,0.072,-0.35,-0.689,-0.601
아남전자,-0.001,-0.032,0.061,-0.464,-0.683,-0.812
율촌화학,0.008,-0.068,0.006,-0.585,-0.827,-0.849
호텔신라,0.004,0.011,0.009,-0.237,-0.339,-0.463
호텔신라우,0.0,0.0,0.004,-0.177,-0.31,-0.826
행남사,0.0,0.0,0.0,,,
대동기어,0.013,-0.037,-0.002,-0.621,-0.776,-0.81
금비,0.003,-0.017,-0.007,-0.126,-0.418,-0.909
한미사이언스,-0.036,-0.147,-0.211,-0.363,-0.307,-0.777
동양철관,-0.008,0.025,0.091,-0.644,-0.509,-0.374
KCTC,0.165,0.393,0.906,1.592,1.239,2.764
경인전자,-0.004,-0.036,0.074,-0.227,-0.705,-0.751
삼성전기,-0.008,-0.024,0.024,-0.245,-0.11,-0.34
삼성전기우,-0.008,-0.068,0.049,-0.092,-0.489,-0.701
SIMPAC,0.015,0.049,0.198,0.185,-0.732,-0.418
한솔로지스틱스,0.016,0.035,0.153,0.345,-0.458,-0.138
대양금속,-0.013,-0.05,-0.051,-0.148,-0.379,-0.782
무림페이퍼,0.012,0.004,0.042,-0.551,-0.837,-0.929
한샘,0.005,-0.01,-0.008,-0.152,-0.548,-0.558
신원,0.005,-0.014,-0.013,0.128,-0.073,-0.508
신원우,0.009,-0.052,-0.114,-0.748,-0.829,-0.852
광동제약,-0.002,-0.038,-0.091,-0.318,-0.403,-0.776
삼아제약,0.009,0.007,-0.053,-0.242,-0.448,-0.675
참엔지니어링,0.033,0.039,0.028,0.177,0.165,-0.189
대우부품,0.006,-0.024,-0.033,-0.35,-0.59,-0.839
태영건설,-0.004,-0.017,-0.009,-0.291,-0.544,-0.744
태영건설우,0.002,-0.034,-0.107,-0.311,-0.402,-0.848
한올바이오파마,-0.011,-0.069,-0.309,-0.115,-0.81,-0.675
KC그린홀딩스,-0.024,-0.115,-0.169,-0.077,-0.15,-0.795
경동나비엔,-0.014,-0.014,-0.03,-0.323,-0.461,-0.382
한창제지,0.046,0.019,0.018,2.193,0.785,0.2
삼화전기,0.0,-0.061,-0.053,-0.315,-0.138,-0.691
포스코엠텍,0.395,0.811,1.128,1.845,2.57,8.571
한국조선해양,-0.026,0.013,-0.005,0.046,0.077,-0.091
무림P&P,-0.007,0.036,0.268,-0.11,-0.427,-0.79
삼보산업,-0.162,-0.282,-0.353,-0.683,-0.417,-0.261
모토닉,-0.012,-0.039,0.017,-0.291,-0.602,-0.756
코센,0.0,0.0,0.0,,,
삼정펄프,0.001,-0.012,-0.024,-0.356,-0.676,-0.533
엠에스씨,-0.008,-0.028,-0.018,-0.31,-0.753,-0.682
엔케이물산,-0.023,-0.034,-0.015,0.06,-0.61,-0.48
한화솔루션,-0.024,-0.111,-0.126,-0.163,-0.262,-0.597
한화솔루션우,-0.015,-0.101,-0.183,0.05,-0.39,-0.811
명신산업,-0.033,-0.144,,-0.154,-0.81,
영원무역홀딩스,0.01,0.028,0.064,-0.456,-0.502,-0.396
한국내화,-0.002,-0.043,-0.028,-0.016,-0.503,-0.861
우리종금,0.014,0.053,0.164,-0.227,-0.779,-0.431
OCI,0.083,0.174,0.375,0.453,0.738,0.763
한국프랜지,0.008,-0.04,-0.059,-0.008,-0.416,-0.924
LS ELECTRIC,-0.028,-0.091,-0.12,0.155,0.218,-0.335
고려아연,-0.001,-0.02,-0.017,-0.295,-0.421,-0.486
삼성중공업,-0.012,-0.004,-0.049,0.066,-0.273,-0.592
삼성중공우,-0.043,-0.094,-0.169,0.5,0.881,0.025
대한광통신,0.002,-0.094,-0.14,-0.26,-0.37,-0.753
흥국,0.145,0.147,0.243,3.158,8.795,5.509
쌍용정보통신,0.0,-0.074,0.035,-0.275,-0.909,-0.88
우진아이엔에스,-0.023,-0.063,-0.06,-0.267,-0.51,-0.449
한솔PNS,-0.012,0.033,0.095,-0.866,-0.638,-0.396
오리콤,-0.011,-0.052,-0.051,-0.258,-0.644,-0.842
지코,0.0,0.0,0.0,,,
웰바이오텍,0.013,0.07,0.15,0.565,0.162,0.538
현대미포조선,-0.018,0.027,0.05,-0.409,-0.432,-0.503
진양폴리,0.035,0.023,-0.056,-0.44,0.12,-0.457
화천기계,0.033,0.033,-0.056,-0.183,0.885,-0.339
화신,0.029,-0.024,0.244,0.446,-0.184,0.059
평화홀딩스,0.01,-0.016,0.023,-0.571,-0.555,-0.762
아이에스동서,-0.004,-0.015,0.008,-0.25,-0.322,-0.567
퍼스텍,0.033,0.035,0.09,-0.037,-0.315,-0.193
S-Oil,0.013,0.035,0.145,0.185,-0.327,-0.071
S-Oil우,0.006,0.013,0.126,-0.005,-0.621,-0.468
삼호개발,0.003,-0.026,0.015,-0.3,-0.655,-0.757
진원생명과학,-0.027,-0.115,-0.295,-0.118,-0.232,-0.659
경동제약,-0.001,-0.019,-0.085,-0.253,-0.471,-0.815
LG이노텍,0.007,-0.019,0.071,-0.178,-0.325,-0.537
형지I&C,0.014,-0.037,0.02,-0.026,-0.024,-0.738
에넥스,-0.036,-0.126,0.101,-0.038,-0.817,-0.925
CJ씨푸드,0.004,-0.04,-0.106,0.039,-0.514,-0.841
CJ씨푸드1우,-0.015,-0.081,-0.159,-0.545,-0.467,-0.626
롯데케미칼,-0.002,0.055,0.115,-0.213,-0.299,-0.209
HMM,0.093,0.316,0.461,0.374,1.131,1.537
현대위아,0.02,-0.044,0.096,-0.218,-0.427,-0.664
삼화전자,0.0,-0.047,-0.104,-0.28,-0.505,-0.745
태림포장,-0.002,-0.079,-0.142,-0.288,-0.913,-0.927
성안,-0.37,-0.375,-0.088,0.359,1.448,3.563
유니크,-0.01,-0.078,-0.096,-0.317,-0.627,-0.864
유니켐,0.012,0.001,0.019,0.212,-0.142,-0.349
서한,-0.006,-0.018,-0.029,-0.079,-0.377,-0.605
부산산업,-0.039,-0.101,-0.017,-0.558,-0.329,-0.228
갤럭시아에스엠,0.025,0.011,0.04,-0.276,-0.736,-0.535
한농화성,-0.091,-0.07,0.193,-0.448,-0.658,-0.465
세보엠이씨,-0.02,-0.01,0.01,-0.619,-0.421,-0.451
유양디앤유,0.0,0.0,0.0,,,
한신기계,0.005,0.002,0.052,-0.141,-0.873,-0.708
현대상사,0.051,0.083,0.121,1.22,2.554,2.82
금호석유,0.053,-0.038,0.215,-0.13,-0.122,0.017
금호석유우,0.041,-0.081,0.159,-0.094,-0.18,-0.334
SKC,-0.028,-0.107,0.031,0.06,-0.131,-0.208
STX,0.037,-0.028,-0.054,0.508,0.048,-0.164
신성이엔지,-0.015,-0.01,-0.083,-0.614,-0.621,-0.727
DB,-0.005,-0.026,0.048,0.156,-0.416,-0.572
영흥,-0.007,-0.048,-0.076,-0.718,-0.617,-0.436
키위미디어그룹,0.0,0.0,-0.138,,,
계양전기,0.006,-0.042,0.014,-0.338,-0.864,-0.933
계양전기우,-0.004,-0.019,-0.045,-0.426,-0.8,-0.84
영화금속,-0.1,-0.172,-0.142,-0.771,-0.691,-0.52
경동인베스트,0.022,0.09,0.114,-0.827,-0.621,-0.473
현대모비스,-0.01,-0.059,0.005,-0.132,-0.373,-0.492
뉴인텍,-0.013,-0.005,0.12,-0.782,-0.671,-0.751
한화에어로스페이스,-0.014,-0.094,0.042,-0.238,-0.428,-0.551
더존비즈온,-0.026,-0.036,-0.022,-0.384,-0.326,-0.352
센트럴인사이트,-0.018,-0.134,-0.194,0.278,0.596,0.729
경인양행,-0.016,-0.061,-0.063,-0.005,-0.409,-0.674
원일특강,0.059,0.06,0.098,1.086,1.951,1.584
HDC,-0.01,-0.038,-0.033,-0.058,-0.392,-0.599
모나리자,-0.011,-0.056,-0.094,-0.349,-0.499,-0.643
리드코프,0.027,0.042,0.022,0.592,1.099,0.794
에스원,-0.008,-0.005,-0.02,-0.342,-0.276,-0.462
신일제약,-0.031,-0.109,-0.299,0.114,-0.003,-0.719
대창,0.002,0.086,0.25,-0.759,-0.769,-0.534
모베이스전자,0.009,0.033,0.101,-0.46,0.146,-0.115
세우글로벌,-0.044,0.035,0.133,-0.715,-0.77,-0.531
하이록코리아,-0.002,-0.028,0.035,-0.115,-0.332,-0.501
동원개발,-0.006,0.0,0.025,-0.137,-0.396,-0.487
아진산업,0.029,-0.015,0.099,0.696,0.8,1.435
일성건설,0.005,-0.045,-0.023,-0.396,-0.533,-0.949
화승알앤에이,0.0,0.104,0.365,,-1.0,-1.0
디와이,-0.002,0.003,0.134,-0.817,-0.746,-0.592
계룡건설,-0.018,-0.059,-0.059,0.097,-0.373,-0.734
까뮤이앤씨,-0.012,-0.015,0.097,-0.55,-0.689,-0.804
청보산업,0.015,0.142,0.38,-0.253,-0.483,-0.556
스페코,-0.018,-0.141,-0.18,0.149,-0.443,-0.696
지엠비코리아,-0.012,-0.082,-0.053,-0.418,-0.769,-0.813
지누스,-0.005,-0.034,-0.079,0.057,0.068,-0.14
아가방컴퍼니,0.015,-0.002,0.036,1.269,2.065,0.782
메디앙스,0.0,0.0,0.0,,,
한익스프레스,-0.011,-0.071,-0.143,0.211,-0.811,-0.894
대영포장,-0.008,0.089,0.367,0.462,-0.493,-0.471
원익큐브,-0.009,-0.068,0.053,-0.366,-0.875,-0.848
광림,-0.003,-0.045,-0.06,-0.069,-0.484,-0.734
금강공업,-0.033,-0.083,-0.075,0.251,0.128,-0.448
금강공업우,0.0,-0.035,-0.092,-0.511,-0.437,-0.771
영보화학,0.003,-0.043,-0.002,-0.517,-0.75,-0.81
부방,0.026,0.003,-0.053,0.277,1.394,-0.546
극동유화,0.008,0.007,0.002,2.164,9.692,22.58
고려제약,-0.001,-0.059,-0.059,-0.689,-0.783,-0.858
태경비케이,-0.011,-0.062,0.0,-0.226,-0.718,-0.864
성광벤드,-0.005,-0.039,-0.011,-0.486,-0.42,-0.48
한솔케미칼,-0.006,0.014,0.171,-0.28,-0.26,-0.207
사조씨푸드,0.0,-0.028,-0.107,-0.286,-0.716,-0.794
한라,-0.024,-0.095,-0.093,-0.018,-0.728,-0.698
동원시스템즈,-0.03,-0.122,0.127,-0.218,-0.617,-0.628
동원시스템즈우,-0.006,-0.071,-0.016,0.838,-0.352,-0.406
유니드,-0.001,0.028,0.19,-0.527,-0.739,-0.765
성문전자,0.03,0.021,0.022,0.024,0.227,-0.284
성문전자우,-0.005,-0.02,-0.083,-0.18,-0.003,-0.59
오리엔탈정공,0.016,0.028,0.082,-0.223,-0.287,-0.643
삼륭물산,-0.025,-0.088,-0.166,0.042,-0.077,-0.878
인디에프,-0.003,-0.067,-0.129,0.096,0.378,-0.178
이스타코,0.063,0.324,0.636,-0.489,-0.091,1.133
대창단조,0.017,-0.034,-0.123,-0.228,-0.59,-0.67
에이엔피,-0.049,-0.109,-0.188,0.223,0.221,-0.71
부산가스,0.027,-0.002,0.069,-0.322,-0.279,-0.431
예스코홀딩스,0.007,-0.002,-0.019,-0.681,-0.801,-0.871
쎌마테라퓨틱스,0.06,0.012,0.031,-0.368,-0.688,-0.918
큐로,0.015,0.005,-0.045,-0.422,0.016,0.35
코콤,0.004,-0.018,0.006,-0.429,-0.45,-0.635
성우하이텍,0.002,-0.106,0.038,-0.283,-0.39,-0.752
한국전력,-0.005,-0.023,-0.065,-0.32,-0.431,-0.712
일진홀딩스,0.002,-0.059,-0.086,-0.203,-0.646,-0.868
태경산업,-0.001,0.011,-0.023,-0.404,-0.724,-0.913
대현,-0.018,-0.043,0.032,-0.049,-0.561,-0.692
리더스코스메틱,0.027,0.013,-0.028,-0.395,-0.698,-0.505
SGC이테크건설,-0.002,-0.017,-0.144,0.283,-0.457,-0.872
삼성증권,0.002,-0.022,-0.073,-0.239,-0.063,-0.409
KG동부제철,0.017,0.057,0.052,-0.077,-0.137,-0.311
KG동부제철우,0.0,-0.074,-0.139,-0.36,-0.229,-0.628
한세예스24홀딩스,0.011,0.007,-0.015,-0.426,-0.581,-0.849
환인제약,0.005,0.002,0.077,-0.113,-0.563,-0.661
신대양제지,-0.001,-0.032,-0.002,-0.068,-0.71,-0.605
큐캐피탈,0.024,0.052,0.077,-0.144,-0.398,0.496
DB금융투자,0.0,-0.007,0.1,-0.446,-0.769,-0.729
포비스티앤씨,0.0,0.0,-0.012,,,-1.0
대성홀딩스,-0.011,-0.028,0.01,-0.591,-0.4,-0.471
두올,0.053,0.267,0.375,-0.917,-0.712,-0.372
현대사료,0.041,0.052,0.045,-0.573,-0.349,-0.458
퍼시스,0.001,-0.001,0.007,-0.183,-0.544,-0.675
웅진,0.163,0.273,0.264,1.367,7.599,20.232
카스,-0.039,-0.106,-0.104,0.072,-0.029,-0.791
신원종합개발,0.001,-0.028,0.108,-0.257,-0.684,-0.792
광명전기,0.042,0.094,0.182,0.159,-0.475,0.223
명문제약,-0.003,-0.081,-0.192,-0.062,-0.199,-0.935
인터엠,0.01,0.016,0.047,-0.805,-0.306,0.593
우신시스템,0.003,-0.051,0.148,-0.074,-0.672,-0.773
서울가스,-0.008,-0.004,0.013,-0.386,-0.818,-0.786
삼현철강,-0.018,0.026,0.067,-0.804,-0.62,-0.081
세명전기,-0.007,-0.026,0.014,-0.291,-0.892,-0.743
수산중공업,-0.074,-0.197,-0.103,0.169,-0.082,-0.643
대림제지,0.019,0.012,0.186,0.837,-0.543,-0.332
SK텔레콤,-0.015,-0.02,-0.018,-0.218,-0.285,-0.386
현대엘리베이,-0.001,-0.029,0.005,-0.216,-0.464,-0.552
풀무원,-0.004,-0.013,-0.013,-0.045,-0.273,-0.648
한국알콜,-0.009,-0.011,-0.013,-0.029,0.338,-0.087
광전자,-0.036,-0.074,-0.041,0.97,0.018,-0.006
E1,0.011,0.001,-0.041,0.497,0.097,-0.123
한국카본,-0.038,-0.058,-0.121,0.354,0.001,-0.22
유니슨,-0.031,-0.116,-0.188,0.426,-0.675,-0.511
진로발효,-0.002,-0.001,-0.002,-0.203,-0.424,-0.606
애경산업,-0.002,-0.01,0.018,-0.136,-0.517,-0.547
삼성에스디에스,-0.018,-0.045,-0.03,-0.217,-0.269,-0.549
브이티지엠피,0.011,0.012,-0.022,-0.642,-0.276,-0.587
삼목에스폼,-0.01,-0.101,0.009,-0.327,-0.775,-0.78
조일알미늄,0.011,-0.004,-0.069,-0.505,-0.566,-0.696
동원금속,0.021,0.032,0.251,-0.129,0.246,0.843
우진비앤지,0.008,-0.035,-0.064,-0.248,-0.73,-0.791
SK가스,0.018,-0.02,-0.071,-0.331,-0.428,-0.58
서울제약,-0.006,-0.076,-0.171,-0.262,-0.426,-0.825
바른손,0.041,0.057,0.035,0.046,-0.051,-0.267
한온시스템,0.026,-0.002,0.019,-0.461,0.231,0.372
베뉴지,0.003,0.001,0.015,-0.423,-0.589,-0.822
신풍제약,0.042,0.137,-0.152,0.281,0.582,-0.04
신풍제약우,0.037,0.128,-0.153,0.562,1.093,-0.107
티에이치엔,-0.016,-0.046,0.051,-0.097,-0.6,-0.844
와이지-원,0.001,0.02,-0.005,-0.39,0.034,-0.313
세아특수강,0.008,0.033,0.052,-0.208,-0.001,-0.046
하이트론,0.021,0.018,0.28,0.183,-0.095,-0.124
일지테크,0.013,-0.041,-0.05,-0.469,-0.482,-0.852
SBI인베스트먼트,0.003,-0.035,0.025,1.192,-0.358,-0.135
리더스 기술투자,0.049,0.294,0.645,-0.268,0.176,2.391
글로본,-0.001,-0.02,-0.005,0.24,-0.088,-0.449
대교,0.027,0.024,0.054,-0.135,-0.22,-0.31
대교우B,0.004,-0.003,0.003,-0.428,-0.594,-0.779
서연탑메탈,0.184,0.405,0.307,0.663,5.121,5.515
에너토크,0.058,0.048,0.103,0.289,1.342,0.492
한섬,-0.006,0.031,0.161,-0.091,-0.443,-0.235
키다리스튜디오,-0.002,-0.073,0.033,-0.75,-0.755,-0.811
일진머티리얼즈,-0.021,-0.106,0.082,-0.057,-0.183,-0.207
대신정보통신,0.006,0.016,-0.031,-0.246,-0.166,-0.463
대동금속,0.013,-0.03,-0.034,-0.254,-0.36,-0.598
아시아나항공,-0.001,-0.01,0.415,-0.242,-0.363,-0.862
시공테크,0.011,-0.018,0.018,-0.368,-0.436,-0.637
일진디스플,-0.028,-0.129,-0.188,0.056,0.637,-0.017
대호피앤씨,-0.005,-0.035,-0.056,-0.132,0.287,-0.563
대호피앤씨우,-0.007,-0.03,-0.088,0.004,-0.677,-0.674
서원,0.074,0.1,0.071,-0.592,-0.684,-0.271
에이티넘인베스트,-0.004,-0.02,-0.042,-0.336,-0.821,-0.773
코웨이,-0.007,-0.057,-0.089,-0.314,-0.238,-0.192
KCC건설,0.02,-0.044,-0.045,2.52,5.197,3.661
한국큐빅,0.006,-0.008,0.036,-0.389,-0.2,0.035
세원정공,0.0,0.0,0.0,,,
메이슨캐피탈,0.037,0.126,0.162,1.404,3.14,3.857
포스코 ICT,0.049,0.036,0.033,0.968,4.831,6.136
정산애강,-0.005,0.005,0.028,-0.447,-0.528,-0.476
삼원강재,0.008,0.001,0.191,-0.293,-0.723,-0.555
MH에탄올,0.03,0.052,0.003,-0.333,0.792,0.556
태광,0.042,0.061,0.081,0.792,1.318,0.59
한국종합기술,0.003,0.006,0.205,-0.121,-0.197,-0.447
유진기업,-0.011,-0.04,-0.029,-0.076,-0.439,-0.526
제일제강,-0.009,-0.001,0.137,-0.126,0.107,0.163
동남합성,-0.009,0.016,0.001,0.401,1.02,-0.048
CNH,-0.01,-0.037,0.028,-0.217,-0.183,-0.717
롯데쇼핑,0.022,0.07,0.15,-0.235,-0.191,-0.153
다우기술,-0.018,-0.014,0.071,-0.349,-0.454,-0.575
삼보판지,0.021,-0.018,0.031,0.161,-0.664,-0.805
한국캐피탈,0.001,0.0,0.014,-0.379,-0.671,-0.698
플레이위드,-0.005,-0.045,-0.05,-0.222,-0.611,-0.786
동일철강,0.005,-0.009,-0.091,-0.404,-0.182,-0.714
인지컨트롤스,-0.027,-0.136,-0.011,-0.146,-0.576,-0.823
인팩,-0.031,-0.078,0.049,-0.371,-0.497,-0.443
한국아트라스비엑스,-0.02,-0.12,-0.068,-0.401,-0.766,-0.791
풍국주정,0.003,-0.04,-0.062,-0.643,-0.538,-0.876
대한약품,0.01,0.045,0.065,-0.499,-0.168,-0.369
에쓰씨엔지니어링,0.022,0.123,-0.038,-0.239,-0.456,-0.406
흥구석유,-0.008,0.04,0.032,0.39,3.38,9.058
WISCOM,-0.013,-0.077,0.086,-0.329,-0.828,-0.884
디씨엠,0.009,0.029,0.05,0.017,-0.055,0.1
기업은행,0.018,0.026,-0.011,0.514,0.938,0.411
KB오토시스,0.019,-0.05,0.216,0.457,-0.414,0.241
한국콜마홀딩스,0.011,0.018,0.04,0.008,-0.44,-0.556
한일단조,0.002,-0.024,-0.018,0.554,0.057,-0.166
유성티엔에스,0.018,0.008,0.027,0.714,0.132,-0.537
이화전기,0.032,-0.065,0.123,-0.766,-0.755,-0.486
세원물산,0.0,0.0,0.0,,,
KBI메탈,0.043,0.015,0.199,0.197,-0.812,-0.503
피에스엠씨,0.009,0.008,0.072,-0.318,-0.714,-0.791
케이피에프,-0.036,-0.101,-0.145,0.364,0.44,-0.338
대원화성,-0.004,-0.004,0.014,-0.26,-0.645,-0.856
덕양산업,-0.043,-0.08,0.181,-0.354,-0.81,-0.87
경창산업,-0.011,-0.019,0.11,-0.497,-0.584,-0.601
PN풍년,0.027,-0.011,0.029,-0.258,-0.401,-0.814
삼천리자전거,0.152,0.287,0.354,1.682,4.953,9.595
KPX케미칼,-0.016,-0.032,0.054,0.03,-0.796,-0.681
시노펙스,-0.008,-0.033,-0.049,0.029,-0.654,-0.797
대성엘텍,-0.009,-0.081,0.055,-0.846,-0.781,-0.878
SJM홀딩스,0.015,-0.028,0.062,-0.695,-0.799,-0.866
한국단자,-0.033,-0.077,0.082,0.046,-0.5,-0.524
한국선재,-0.026,-0.088,-0.088,-0.675,-0.506,-0.418
미래산업,-0.003,-0.008,0.004,-0.172,-0.419,-0.481
제이준코스메틱,-0.004,-0.024,-0.06,-0.082,-0.256,-0.462
한솔홈데코,-0.006,-0.049,-0.097,-0.369,-0.773,-0.902
한국정보통신,-0.008,0.019,0.002,-0.254,-0.518,-0.316
이구산업,0.048,0.214,0.498,-0.675,-0.71,-0.409
남해화학,-0.001,-0.02,0.0,-0.128,-0.554,-0.708
신라에스지,-0.021,-0.083,0.18,-0.659,-0.559,-0.601
케이씨피드,0.002,-0.011,0.024,-0.523,-0.721,-0.893
한국주강,0.035,0.053,0.096,3.576,12.177,25.49
동화기업,-0.018,-0.126,-0.104,0.093,-0.111,-0.5
동신건설,-0.025,0.05,0.108,-0.517,-0.545,-0.781
아난티,-0.003,-0.051,-0.092,-0.461,-0.426,-0.696
제이에스티나,-0.007,-0.016,-0.038,-0.405,-0.596,-0.651
특수건설,0.009,-0.038,-0.004,-0.345,-0.699,-0.861
디피씨,-0.012,-0.06,0.087,-0.187,-0.785,-0.812
광진실업,0.016,0.02,0.113,0.609,-0.109,-0.699
부국철강,0.028,0.071,0.05,-0.268,0.317,0.15
동서,-0.137,-0.148,-0.028,2.461,3.498,5.729
서울전자통신,-0.009,-0.056,0.006,-0.508,-0.914,-0.93
코리아나,0.007,0.007,0.0,-0.209,-0.382,-0.534
아주IB투자,-0.001,0.015,-0.017,0.529,2.7,1.616
BGF,0.034,-0.03,0.082,0.425,-0.038,-0.594
상보,-0.013,0.006,0.229,-0.288,-0.88,-0.738
팜스토리,0.023,0.124,0.28,0.173,0.876,3.339
마니커,0.004,0.01,0.015,0.162,-0.33,-0.395
대성창투,0.01,-0.011,0.095,-0.45,-0.92,-0.781
세하,0.016,-0.025,-0.039,-0.344,-0.77,-0.786
미래SCI,0.0,0.0,0.0,,,
삼성엔지니어링,-0.006,-0.017,-0.035,-0.256,-0.331,-0.583
휴맥스홀딩스,0.002,-0.04,-0.104,0.17,-0.087,-0.771
동아지질,-0.02,-0.045,-0.035,-0.054,-0.308,-0.458
GS홈쇼핑,0.027,0.042,0.039,0.001,0.498,0.329
삼성물산,-0.016,-0.06,-0.106,0.1,0.001,-0.397
삼성물산우B,-0.004,-0.06,-0.096,-0.167,-0.379,-0.822
에이치엘비,0.09,0.045,-0.092,-0.063,-0.502,-0.023
팬오션,0.085,0.217,0.315,2.228,5.798,9.064
케이씨,-0.018,-0.064,-0.029,0.343,0.343,0.01
릭스솔루션,-0.01,-0.049,-0.076,-0.528,-0.823,-0.74
신도리코,0.014,0.001,0.09,-0.335,-0.799,-0.697
삼성카드,-0.01,0.016,-0.005,-0.352,-0.192,-0.362
코엔텍,-0.003,-0.012,-0.038,-0.187,-0.336,-0.706
제일기획,-0.007,-0.025,-0.049,0.043,-0.095,-0.329
NICE평가정보,0.012,0.032,0.016,-0.056,0.048,-0.33
KT,-0.006,0.018,0.051,-0.177,-0.467,-0.418
KTB투자증권,0.023,0.0,0.129,-0.335,-0.696,-0.578
드래곤플라이,-0.024,-0.095,-0.161,-0.517,-0.132,-0.343
한글과컴퓨터,-0.009,-0.029,-0.04,-0.294,-0.489,-0.602
원익홀딩스,0.0,-0.039,-0.036,-0.038,-0.234,-0.563
교보증권,0.007,-0.016,-0.047,-0.431,-0.658,-0.746
동원수산,-0.002,-0.023,-0.042,-0.209,-0.319,-0.618
비케이탑스,-0.032,-0.06,-0.162,-0.184,-0.727,-0.615
양지사,-0.054,-0.101,0.109,-0.405,-0.681,-0.443
아이즈비전,0.033,0.017,0.036,-0.148,-0.621,-0.83
에스에이엠티,0.005,-0.015,0.039,-0.176,-0.641,-0.706
녹십자셀,0.002,-0.044,-0.12,-0.184,-0.608,-0.907
신세계인터내셔날,0.036,0.092,0.174,-0.152,-0.068,0.02
신세계푸드,0.031,0.035,0.05,-0.464,-0.213,-0.275
오스템,0.006,-0.025,0.02,-0.266,-0.691,-0.764
콤텍시스템,-0.009,-0.053,-0.063,-0.247,-0.824,-0.89
엔에스엔,0.059,0.039,0.065,-0.226,-0.09,-0.071
피에스케이홀딩스,-0.02,-0.055,-0.045,0.357,-0.042,-0.52
아즈텍WB,0.082,0.096,0.208,0.616,2.727,0.97
다우데이타,-0.013,-0.031,-0.022,-0.163,-0.168,-0.449
삼일,0.016,0.03,0.072,-0.718,-0.681,-0.596
한국파마,-0.04,-0.097,0.126,-0.581,-0.742,-0.728
롯데관광개발,-0.014,0.113,0.234,-0.258,-0.123,0.307
케이엠더블유,0.004,-0.151,-0.213,0.343,1.011,0.826
TJ미디어,-0.005,0.045,0.163,-0.607,-0.712,-0.844
황금에스티,0.024,0.061,0.106,0.418,0.742,0.847
피델릭스,0.04,0.001,0.066,0.009,-0.636,-0.67
유비케어,-0.021,-0.074,-0.149,0.007,-0.099,-0.715
LG유플러스,-0.015,-0.049,-0.036,-0.02,-0.246,-0.303
소프트센,0.006,-0.021,-0.094,-0.647,-0.257,-0.276
소프트센우,0.008,0.019,-0.1,2.025,9.382,20.637
삼진,-0.003,-0.078,-0.052,-0.364,-0.796,-0.861
엠젠플러스,0.0,0.0,0.0,,,
판타지오,-0.013,-0.044,-0.127,-0.525,-0.809,-0.877
우리기술,0.03,-0.006,-0.038,-0.164,-0.739,-0.568
삼성생명,0.028,0.069,0.049,0.587,0.804,0.438
비트컴퓨터,-0.034,-0.072,-0.171,0.119,-0.178,-0.88
휴먼엔,0.004,-0.081,0.049,0.055,-0.308,-0.418
원익,-0.017,-0.082,-0.105,-0.104,-0.427,-0.727
동일기연,0.028,-0.035,0.002,-0.237,-0.231,-0.1
바이온,-0.016,-0.03,-0.056,-0.391,-0.079,-0.368
제이엠아이,0.008,-0.006,0.036,-0.11,-0.54,-0.574
제룡전기,0.03,0.033,0.085,-0.504,-0.419,-0.382
코너스톤네트웍스,0.0,0.0,0.0,,,
디지틀조선,0.015,0.001,-0.053,-0.224,-0.004,-0.737
엠케이전자,-0.017,-0.012,0.041,-0.178,-0.744,-0.663
시그네틱스,-0.022,-0.046,0.285,-0.157,-0.823,-0.733
필룩스,-0.026,-0.097,-0.11,-0.427,-0.81,-0.865
모아텍,-0.003,-0.134,-0.075,-0.442,-0.733,-0.923
인성정보,0.073,0.032,-0.153,3.433,10.131,19.049
자화전자,-0.019,-0.188,-0.228,-0.412,-0.267,-0.463
체시스,-0.022,-0.064,-0.184,-0.067,-0.158,-0.616
유나이티드제약,0.026,0.052,0.002,-0.114,-0.218,-0.837
코웰패션,0.009,-0.009,0.015,-0.156,-0.466,-0.427
엠투엔,-0.016,0.028,0.022,-0.143,-0.41,-0.665
제이씨현시스템,-0.011,-0.045,-0.048,-0.25,-0.735,-0.649
좋은사람들,0.019,-0.099,-0.2,-0.31,0.473,0.657
디에스티,0.0,0.0,0.0,,,
