STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
현대해상,0.029,0.091,0.054,0.199,0.453,0.61
BYC,-0.006,0.073,0.162,-0.464,-0.615,-0.606
BYC우,-0.001,0.036,0.081,-0.33,-0.62,-0.61
삼부토건,0.069,0.164,0.063,-0.146,0.203,-0.032
현대차증권,0.014,-0.014,-0.068,-0.328,-0.359,-0.611
SK증권,0.008,-0.014,-0.012,-0.289,-0.518,-0.824
SK증권우,-0.043,-0.066,-0.126,-0.064,-0.162,-0.671
동양,0.001,-0.023,-0.002,0.156,-0.235,-0.36
동양우,-0.001,-0.007,-0.037,-1.0,-1.0,-1.0
동양2우B,-0.017,-0.007,-0.039,1.93,-0.308,-0.728
동양3우B,-0.013,-0.06,-0.124,-0.585,-0.542,-0.242
DI동일,-0.075,-0.167,-0.088,1.502,1.519,0.664
안국약품,-0.007,-0.066,-0.059,-0.416,-0.732,-0.939
조비,-0.001,-0.004,0.043,-0.317,-0.74,-0.68
제일연마,0.013,0.02,0.032,0.39,-0.232,-0.668
금양,0.017,-0.097,-0.196,-0.182,-0.471,-0.847
케이비아이동국실업,-0.043,-0.108,0.011,0.061,-0.539,-0.604
종근당홀딩스,0.019,-0.012,-0.078,0.045,0.144,-0.833
대상,0.006,-0.037,-0.054,-0.141,-0.339,-0.558
대상우,-0.001,-0.053,-0.052,0.059,-0.18,-0.548
신영증권,0.014,0.014,0.042,1.175,2.08,2.592
신영증권우,0.007,0.016,0.064,-0.113,-0.43,-0.171
SK네트웍스,-0.023,-0.007,0.04,-0.183,-0.522,-0.5
SK네트웍스우,-0.013,-0.034,-0.036,-0.404,-0.672,-0.832
한양증권,0.006,-0.01,0.043,-0.554,-0.751,-0.762
한양증권우,-0.003,-0.047,-0.101,-0.597,-0.584,-0.707
신화실업,-0.035,-0.096,-0.033,0.723,-0.035,-0.552
알루코,0.009,-0.033,-0.047,-0.554,-0.558,-0.906
대한제당,-0.01,0.045,0.045,-0.828,-0.593,-0.424
대한제당우,0.029,0.14,0.172,-0.748,-0.022,1.509
오리온홀딩스,0.003,-0.016,0.024,-0.189,-0.55,-0.54
무림SP,-0.017,-0.08,-0.002,-0.15,-0.716,-0.921
삼화콘덴서,-0.012,-0.048,-0.013,-0.164,-0.394,-0.692
이화공영,0.019,-0.02,0.049,-0.381,-0.663,-0.927
대림건설,-0.022,-0.117,-0.131,-0.1,-0.117,-0.452
KISCO홀딩스,0.005,0.012,0.03,-0.481,-0.711,-0.772
코오롱,-0.018,-0.047,-0.022,-0.273,-0.808,-0.661
코오롱우,-0.001,-0.036,-0.082,-0.43,-0.922,-0.839
아세아,0.004,-0.017,-0.006,-0.156,-0.738,-0.575
비비안,0.008,-0.053,-0.176,-0.443,-0.388,-0.742
경농,0.033,0.023,0.075,0.148,-0.568,-0.241
고려산업,-0.017,-0.038,-0.08,-0.289,-0.389,-0.928
도화엔지니어링,0.006,-0.005,-0.014,-0.325,-0.401,-0.687
삼양통상,0.037,0.043,0.045,-0.335,0.129,0.098
한국수출포장,-0.012,-0.076,-0.066,-0.006,-0.783,-0.759
동성제약,-0.006,-0.026,-0.037,-0.044,-0.21,-0.852
한일철강,-0.017,0.014,0.052,-0.874,-0.603,-0.393
피에스텍,0.015,0.073,0.149,-0.094,-0.511,-0.151
고려제강,-0.005,0.072,0.066,-0.602,-0.55,-0.046
롯데푸드,0.022,-0.003,0.092,-0.27,-0.575,-0.537
삼일기업공사,0.001,0.046,0.089,0.199,0.715,-0.164
아세아제지,0.0,-0.021,0.069,0.515,-0.263,-0.286
한진,0.005,-0.072,-0.081,-0.537,-0.622,-0.616
넥센타이어,-0.027,0.036,0.178,-0.423,-0.728,-0.634
넥센타이어1우B,-0.001,0.011,0.07,-0.625,-0.85,-0.871
SH에너지화학,0.005,-0.003,0.03,3.13,10.14,7.948
KCC,-0.002,-0.024,0.008,0.169,-0.2,-0.468
한독,-0.018,-0.064,-0.125,0.074,-0.13,-0.508
범양건영,0.033,0.063,0.069,-0.255,0.51,0.117
세기상사,0.0,0.0,0.0,,,
삼익악기,0.008,0.048,0.087,0.751,1.338,2.547
화성산업,-0.004,-0.027,-0.067,-0.194,-0.28,-0.71
조흥,-0.007,-0.016,-0.021,-0.665,-0.796,-0.91
제일파마홀딩스,-0.022,-0.058,-0.118,-0.271,-0.296,-0.612
오리엔트바이오,0.006,-0.028,0.075,-0.425,-0.444,-0.789
한탑,-0.092,-0.116,-0.223,-0.229,0.023,0.225
동일제강,-0.007,0.146,0.244,-0.877,-0.524,-0.056
신일전자,0.016,0.039,0.122,0.1,-0.397,-0.22
TCC스틸,-0.061,-0.131,-0.17,0.162,-0.458,-0.856
국제약품,-0.012,-0.076,-0.144,0.334,-0.34,-0.789
보락,-0.004,-0.026,-0.084,0.409,-0.134,-0.587
진흥기업,0.035,0.007,0.01,-0.269,-0.275,-0.683
진흥기업우B,0.008,-0.084,-0.195,-0.527,-0.484,-0.788
진흥기업2우B,0.007,-0.026,-0.049,-0.4,-0.415,-0.842
아모레G,0.005,0.024,0.088,-0.157,-0.039,-0.194
아모레G우,-0.005,-0.049,-0.016,-0.249,-0.145,-0.419
아모레G3우(전환),0.012,0.003,0.065,-0.477,-0.481,-0.62
신신제약,-0.009,-0.057,-0.138,0.196,-0.36,-0.905
삼영무역,0.021,0.039,0.043,-0.103,-0.296,-0.2
선창산업,-0.015,-0.037,-0.055,-0.302,-0.237,-0.224
미원상사,0.01,0.081,0.206,-0.427,-0.519,-0.434
신풍제지,0.011,-0.033,-0.12,0.215,-0.871,-0.903
대유에이텍,0.076,0.103,0.229,0.985,1.295,1.286
동양물산,-0.019,-0.034,-0.039,-0.037,-0.375,-0.367
유성기업,0.01,-0.044,0.017,0.79,-0.753,-0.66
한국쉘석유,-0.003,0.002,-0.031,-0.088,0.56,0.058
금호산업,0.015,0.014,-0.016,-0.192,-0.327,-0.659
금호산업우,-0.015,-0.038,-0.073,0.086,-0.244,-0.648
부광약품,-0.083,0.015,-0.075,-0.677,-0.067,0.141
혜인,0.014,0.06,0.103,-0.462,-0.628,-0.17
세아제강지주,0.0,-0.021,-0.025,-0.082,-0.547,-0.716
에이프로젠제약,-0.021,-0.062,-0.131,-0.176,-0.278,-0.507
코오롱글로벌,0.008,-0.04,-0.012,-0.269,-0.736,-0.675
코오롱글로벌우,0.002,-0.04,-0.171,-0.421,-0.654,-0.875
성보화학,0.005,-0.024,-0.055,-0.168,-0.43,-0.795
대웅,-0.045,-0.143,-0.287,0.144,-0.33,-0.89
선광,-0.018,-0.009,0.02,-0.587,-0.579,-0.709
일성신약,0.011,-0.001,-0.02,-0.326,-0.251,-0.784
디아이,0.042,0.066,0.223,0.991,0.017,-0.174
일신방직,0.008,0.032,0.06,-0.177,-0.428,-0.498
대원제약,-0.024,-0.067,-0.116,0.574,-0.237,-0.52
삼양식품,0.004,-0.026,-0.078,-0.469,-0.518,-0.763
태광산업,-0.042,-0.082,0.025,0.441,0.019,0.121
흥아해운,0.0,0.0,0.0,,,
한일홀딩스,-0.003,-0.002,-0.302,-0.024,0.079,0.254
대주산업,-0.012,0.057,0.037,-0.79,-0.564,-0.357
한국화장품제조,0.012,0.013,-0.001,-0.451,-0.454,-0.643
하림지주,0.021,0.039,0.067,1.144,0.662,0.321
쌍용양회,0.011,-0.005,-0.001,0.194,-0.275,-0.461
유화증권,-0.005,-0.005,-0.021,-0.562,-0.278,-0.467
유화증권우,-0.012,-0.005,-0.025,3.119,8.355,11.497
유안타증권,-0.012,-0.041,-0.044,-0.134,-0.54,-0.683
유안타증권우,-0.004,-0.028,-0.025,0.173,-0.557,-0.815
한진중공업홀딩스,0.026,-0.014,-0.076,0.153,0.001,-0.423
대한항공,-0.007,-0.047,-0.04,-0.381,-0.53,-0.686
대한항공우,-0.011,-0.042,-0.068,-0.29,-0.567,-0.882
영진약품,-0.008,-0.022,-0.131,-0.258,-0.284,-0.834
한화투자증권,-0.018,-0.03,0.036,0.098,-0.697,-0.679
한화투자증권우,-0.021,-0.091,-0.019,-0.095,-0.767,-0.569
대신증권,0.035,0.104,0.127,-0.18,-0.023,0.065
대신증권우,0.062,0.12,0.102,-0.294,0.533,0.203
대신증권2우B,0.05,0.101,0.08,-0.112,1.051,0.515
LG,-0.022,-0.092,-0.048,-0.233,-0.249,-0.535
LG우,-0.006,-0.06,-0.035,-0.218,-0.393,-0.861
IHQ,0.036,0.06,0.167,0.158,-0.087,0.059
S&T중공업,0.022,0.088,0.187,-0.302,-0.193,-0.655
넥스트사이언스,0.009,-0.066,-0.185,-0.227,-0.614,-0.462
방림,0.07,0.076,0.107,3.239,7.845,2.633
쌍용차,0.0,0.0,-0.056,,,-1.0
미창석유,-0.034,0.049,0.06,-0.409,1.278,5.3
포스코케미칼,0.02,0.042,0.231,-0.21,-0.109,-0.175
한성기업,0.016,-0.012,-0.07,-0.43,-0.375,-0.644
코리안리,0.028,0.053,0.05,0.296,0.433,0.289
삼영화학,-0.007,-0.056,-0.016,-0.366,-0.614,-0.871
진양산업,0.06,0.07,-0.032,-0.598,0.332,0.256
에이스침대,0.004,0.017,0.044,0.368,-0.23,-0.272
